Mes,Dia,Hora,Precio kWh
1,1,0,0.11725
1,1,1,0.11516
1,1,2,0.10852
1,1,3,0.10962
1,1,4,0.10665
1,1,5,0.1119
1,1,6,0.11646
1,1,7,0.11688
1,1,8,0.13815
1,1,9,0.12008
1,1,10,0.15345
1,1,11,0.1303
1,1,12,0.1303
1,1,13,0.13006
1,1,14,0.07163
1,1,15,0.07475
1,1,16,0.07581
1,1,17,0.10402
1,1,18,0.15447
1,1,19,0.16839
1,1,20,0.19704
1,1,21,0.20715
1,1,22,0.16243
1,1,23,0.1574
